Название;Цена;ссылка
Конфетница «Снегурочка» в голубом;4,000.00 ₽;https://akademkukol.ru/product/snc/
Конфетница «Дарья»;4,500.00 ₽;https://akademkukol.ru/product/darja/
Конфетница «Марья»;4,000.00 ₽;https://akademkukol.ru/product/marja/
Конфетница «Олеся»;4,000.00 ₽;https://akademkukol.ru/product/olesia/
Конфетница «Злата»;4,000.00 ₽;https://akademkukol.ru/product/zlata-2/
Конфетница «Северянка»;3,000.00 ₽;https://akademkukol.ru/product/sv/
Конфетница «Солоха» в зелёном;3,000.00 ₽;https://akademkukol.ru/product/slxa/
Конфетница «Снегурочка» в синем полушубке;4,500.00 ₽;https://akademkukol.ru/product/sngblue/
Дед Мороз в голубом;3,300.00 ₽;https://akademkukol.ru/product/dmbl/
Дед Мороз в красном;3,300.00 ₽;https://akademkukol.ru/product/dmrd/
Кукла-конфетница «Снегурочка в синем полушубке»;4,500.00 ₽;https://akademkukol.ru/product/konf-blue-fur/
Кукла-конфетница «Снегурочка в голубом»;4,000.00 ₽;https://akademkukol.ru/product/konf-blue/
Кукла-конфетница «Снегурочка серебряная»;4,000.00 ₽;https://akademkukol.ru/product/konf-silver/
Кукла-конфетница «Снегурочка с диадемой»;4,500.00 ₽;https://akademkukol.ru/product/konf-deodema/
Кукла-конфетница «Снегурочка серебряная со стразами»;4,500.00 ₽;https://akademkukol.ru/product/konf-silver-strazy/
Кукла-конфетница «Снежная королева»;4,500.00 ₽;https://akademkukol.ru/product/konf-snowqueen/
Кукла-конфетница «Снегурочка Снежана со стразами»;4,500.00 ₽;https://akademkukol.ru/product/konf-snezhanna/
Конфетница «Княгиня Самарская»;4,000.00 ₽;https://akademkukol.ru/product/%d0%ba%d0%be%d0%bd%d1%84%d0%b5%d1%82%d0%bd%d0%b8%d1%86%d0%b0-%d0%ba%d0%bd%d1%8f%d0%b3%d0%b8%d0%bd%d1%8f-%d1%81%d0%b0%d0%bc%d0%b0%d1%80%d1%81%d0%ba%d0%b0%d1%8f/
Конфетница «Альвина»;4,000.00 ₽;https://akademkukol.ru/product/%d0%ba%d0%be%d0%bd%d1%84%d0%b5%d1%82%d0%bd%d0%b8%d1%86%d0%b0-%d0%b0%d0%bb%d1%8c%d0%b2%d0%b8%d0%bd%d0%b0/
Конфетница «Эльта»;4,000.00 ₽;https://akademkukol.ru/product/%d0%ba%d0%be%d0%bd%d1%84%d0%b5%d1%82%d0%bd%d0%b8%d1%86%d0%b0-%d1%8d%d0%bb%d1%8c%d1%82%d0%b0/
Конфетница «Прасковья»;3,700.00 ₽;https://akademkukol.ru/product/praskovja/
Конфетница «Василиса»;3,700.00 ₽;https://akademkukol.ru/product/vslisa/
Кукла-упаковка «Марьяна»;2,700.00 ₽;https://akademkukol.ru/product/marjana/
Кукла-упаковка «Дед Мороз» в красном для чая;3,500.00 ₽;https://akademkukol.ru/product/dm/
Кукла-упаковка «Злата»;3,000.00 ₽;https://akademkukol.ru/product/zlata/
