Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет бомбардировщик B2 Fei Xiong FX632 2.4G - FX632;1890 ₽;Двухканальный самолет типа ''летающее крыло'' выпускается в различных вариантах окраски, оснащен двумя мощными электродвигателями с толкающими пропеллерами и способен летать как внутри просторных помещений, так и на улице в безветренную погоду.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-bombardirovshchik-b2-fei-xiong-fx632-2-4g---fx632/;https://copterdrone.ru/uploads/products/37622.0x600.jpg
Радиоуправляемый самолет Fei Xiong Истребитель F22 (EPP) 2.4G - FX622;1990 ₽;Радиоуправляемый самолет Fei Xiong Истребитель F22 (EPP) 2.4G - FX622- это двухканальный радиоуправляемый истребитель F22 ''Fighter'' очень прост в управлении. Встроенная система стабилизации с 3-осевым гироскопом во время полета удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Набор высоты и снижение осуществляется при помощи изменения оборотов двигателей, а виражи выполняются при помощи изменения тяги одного из моторов. Если пилот не справляется с управлением, достаточно просто отпустить рычаги управления, и полет самолета автоматически выровняется. Такая модель идеально подходит для начинающих пилотов и любителей миниатюрной авиации.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-istrebitely-f22--epp--2-4g---fx622/;https://copterdrone.ru/uploads/products/37471.0x600.jpg
Радиоуправляемый самолет SU-35 для начинающих 2.4G - FX820 - YELLOW;2290 ₽;Радиоуправляемый самолет SU-35 для начинающих 2.4G - FX820-YELLOW - это двухканальный радиоуправляемый истребитель СУ-35, который очень прост в управлении. Встроенная система стабилизации с 3-осевым гироскопом во время полета удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Набор высоты и снижение осуществляется при помощи изменения оборотов двигателей, а виражи выполняются при помощи изменения тяги одного из моторов. Если пилот не справляется с управлением, достаточно просто отпустить рычаги управления, и полет самолета автоматически выровняется. Такая модель идеально подходит для начинающих пилотов и любителей миниатюрной авиации.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-su-35-dlya-nachinayushchih-2-4g---fx820-yellow/;https://copterdrone.ru/uploads/products/33894.0x600.jpeg
Радиоуправляемый самолет-крыло для дома и начинающих пилотов 2.4G - FX603-BLUE;2290 ₽;Радиоуправляемый самолет-крыло для дома и начинающих пилотов 2.4G - FX603-BLUE - это самолет, который оснащен 3-осевой системой гироскопа, поэтому даже новички смогут насладиться стабильностью полета. Подходит для игры дома и на улице.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-krylo-dlya-doma-i-nachinayushchih-pilotov-2-4g---fx603-blue/;https://copterdrone.ru/uploads/products/33970.0x600.jpg
Радиоуправляемый самолет F-18 Hornet Fighter LiPo EPP - FX828;2390 ₽;Радиоуправляемый самолет F-18 Hornet Fighter - FX828 - это самолет на пульте управления для начинающих пилотов, корпус которого изготовлен из материала EPP, прочный и легкий. Кроме того, это хороший подарок для ваших детей, он хорош как для развития интереса, так и для развития интеллекта. Классный внешний вид, разработан по образцу истребителя F-18. Самолет идеально подходит для новичков! Самолет Flybear FX828 поставляется в комплектации RTF нужны будут только батарейки для пульта управления.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-f-18-hornet-fighter-lipo-epp-fx828/;https://copterdrone.ru/copter/res/image/uploads/store/product/1ecd12f38970f8fe9e58e92d8c40b944.jpg
Радиоуправляемый самолет SU-35 для начинающих 2.4G - FX820-CAMOUFLAGE;2490 ₽;Двухканальный радиоуправляемый истребитель СУ-35 со встроенной системой стабилизации с 3-осевым гироскопом во время полета удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Дальность полета до 150 м. Время полета до 15 минут.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-su-35-dlya-nachinayushchih-2-4g---fx820-camouflage/;https://copterdrone.ru/uploads/products/37641.0x600.jpg
Радиоуправляемый самолет SU-35 для начинающих 2.4G - FX820-CAMOUFLAGE;2490 ₽;Двухканальный радиоуправляемый истребитель СУ-35 со встроенной системой стабилизации с 3-осевым гироскопом во время полета удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Дальность полета до 150 м. Время полета до 15 минут.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-su-35-dlya-nachinayushchih-2-4g---fx820-camouflage/;https://copterdrone.ru/uploads/products/37641.0x600.jpg
Радиоуправляемый самолет Volantex RC Trainstar Micro 2.4G 2ch RTF - EXA78103R;2590 ₽;Радиоуправляемый самолёт с размахом крыла всего 20 см! Подойдет для полётов по дому. Материал из которого сделан самолёт - EPP, легкий, но при этом прочный. Каналов управления - 2.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-trainstar-micro-24g-2ch-rtf-exa78103r/;https://copterdrone.ru/copter/res/image/uploads/store/product/c398591e567d8e6c4d8449d66175faa2.jpg
Радиоуправляемый самолет FX818 Pterosaur Blue 2.4G - FX818-BLUE;2590 ₽;Радиоуправляемый самолёт, который способен летать до 25 минут, благодаря ёмкому LiPo аккумулятору. Вес самолёта составляет 49 грамм, а крылья сделаны из прочного и гибкого материала. Дальность управления - 120 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fx818-pterosaur-blue-24g-fx818-blue/;https://copterdrone.ru/copter/res/image/uploads/store/product/47f9a9233b6e4d15e6705449530c1606.jpg
Радиоуправляемый самолет F22 Fighter EPP 2.4G - FX822;2590 ₽;"Радиоуправляемый военный истребитель. Размах крыла - 29 см, а длина фюзеляжа - 38 см. Установлены мощные коллекторные двигатели. Есть возможность выполнения трюков, путем изменения тяги на один из моторов. Время игры 15-20 минут.&nbsp;";https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-f22-fighter-epp-24g-fx822/;https://copterdrone.ru/copter/res/image/uploads/store/product/15b87f03ac7f7bbf6df286eda934f24f.jpg
Радиоуправляемый самолет для начинающих F16 FIGHTER 2.4G - FX823;2590 ₽;Радиоуправляемый самолет для начинающих F16 FIGHTER 2.4G - FX823 - это качественный двухканальный самолет для начинающих. Человек всегда мечтал покорять небеса, парить, словно птица. Теперь эта возможность доступна не только профессиональным летчикам, но и обычным людям. Данная модель самолета погрузит своего владельца в увлекательный мир 3D пилотирования. Благодаря упрощенной системе управления игрушка идеальна для начинающих.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-dlya-nachinayushchih-f16-fighter-2-4g---fx823/;https://copterdrone.ru/uploads/products/33988.0x600.jpeg
Радиоуправляемый самолет планер White Pterosaur - FX818;2590 ₽;Радиоуправляемый самолет планер White Pterosaur - FX818 - это планер с пультом управления для начинающих. Самолет сконструирован таким образом, чтобы максимально облегчить управление для новичков. Гибкие крылья отлично обтекаются воздухом и адаптируются к условиям полета, позволяя планеру уверенно держаться в небе.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-planer-white-pterosaur-fx818/;https://copterdrone.ru/uploads/products/31691.0x600.jpeg
Радиоуправляемый самолет Fei Xiong F35 (EPP) 2.4G - FX835;2590 ₽;Радиоуправляемый истребитель со встроенная система стабилизации с 3-осевым гироскопом удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Дальность полета 120 метров. Время полета 10 минут.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-f35--epp--2-4g---fx835/;https://copterdrone.ru/uploads/products/37645.0x600.jpg
Радиоуправляемый самолет Fei Xiong J-20 RTF 2.4G - FX830-BLACK;2590 ₽;Радиоуправляемый самолёт подойдет как начинающим , так и профессиональным пилотам! Время полета до 15 минут. Дальность полета 150 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-j-20-rtf-2-4g---fx830-black/;https://copterdrone.ru/uploads/products/37650.0x600.jpg
